type;isin;investmentRegion;investmentSubject;fullName;managedBy;replicationType;ticker;exchange;tickerGoogle;tickerYahoo;currency
ETF;IE00B3WJKG14;USA;Akcje - technologia;ISHARES S&P500 IT SECTOR UCITS ;iShares;Accumulating;IUIT;LON;LON:IUIT;;USD
ETF;IE00BQT3WG13;Chiny;Akcje;ISHARES MSCI CHINA A UCITS ;iShares;Accumulating;CNYA;LON;LON:CNYA;;USD
ETF;IE00BQT3WG13;Chiny;Akcje;ISHARES MSCI CHINA A UCITS ;iShares;Accumulating;CNYA;FRA;FRA:CNYA;;
ETF;IE00BQT3WG13;Chiny;Akcje;ISHARES MSCI CHINA A UCITS ;iShares;Accumulating;36BZ;FRA;FRA:36BZ;;EUR
ETF;IE00BQN1K901;Europa;Akcje - factor;ISHARES EDGE MSCI EUROPE VALUE FACTOR UCITS ETF EUR ;iShares;Accumulating;CEMS;FRA;FRA:CEMS;;EUR
ETF;IE00BQN1K901;Europa;Akcje - factor;ISHARES EDGE MSCI EUROPE VALUE FACTOR UCITS ETF EUR ;iShares;Accumulating;IEVL;LON;LON:IEVL;;EUR
ETF;IE00B441G979;Globalny (DM);Akcje;ISHARES MSCI WORLD EUR HEDGED UCITS (ACC, EUR);iShares;Accumulating;IBCH;FRA;FRA:IBCH;;
ETF;IE00BYZK4552;Globalny;Akcje - technologia;ISHARES AUTOMATION & ROBOTICS UCITS ;iShares;Accumulating;2B76;FRA;FRA:2B76;;EUR
ETF;IE00BYZK4552;Globalny;Akcje - technologia;ISHARES AUTOMATION & ROBOTICS UCITS ;iShares;Accumulating;RBOT;LON;LON:RBOT;;USD
ETF;IE00B53QG562;Europa;Akcje;ISHARES CORE MSCI EMU UCITS ETF EUR ;iShares;Accumulating;CEU1;LON;LON:CEU1;;GBX
ETF;IE00B53QG562;Europa;Akcje;ISHARES CORE MSCI EMU UCITS ETF EUR ;iShares;Accumulating;CEMU;AMS;AMS:CEMU;;EUR
ETF;IE00B945VV12;Europa;Akcje;VANGUARD FTSE DEVELOPED EUROPE UCITS;Vanguard;Distributing;VEUR;LON;LON:VEUR;;GBP
ETF;FR0007054358;Europa;Akcje;LYXOR EURO STOXX 50 (DR) UCITS ETF ;Lyxor;Accumulating;MSE;EPA;EPA:MSE;;EUR
ETF;IE00BF4RFH31;Globalny (DM);Akcje - małe spółki;ISHARES MSCI WORLD SMALL CAP UCITS ;iShares;Accumulating;WSML;LON;LON:WSML;;USD
ETF;IE00BF4RFH31;Globalny (DM);Akcje - małe spółki;ISHARES MSCI WORLD SMALL CAP UCITS ;iShares;Accumulating;IUSN;FRA;FRA:IUSN;;EUR
ETF;IE00B43HR379;USA;Akcje - ochrona zdrowia;ISHARES S&P 500 HEALTH CARE SECTOR UCITS ;iShares;Accumulating;IUHC;LON;LON:IUHC;;USD
ETF;IE00B43HR379;USA;Akcje - ochrona zdrowia;ISHARES S&P 500 HEALTH CARE SECTOR UCITS ;iShares;Accumulating;QDVG;FRA;FRA:QDVG;;EUR
ETF;LU0779800910;Chiny;Akcje;DB XTRACKERS CSI300 UCITS ETF;Xtrackers;Accumulating;XCHA;FRA;FRA:XCHA;;
ETF;DE000A0F5UF5;USA;Akcje;ISHARES NASDAQ100 UCITS ;iShares;Distributing;NDXEX;FRA;FRA:EXXT;;EUR
ETF;LU1681045370;Globalny (EM);Akcje;AMUNDI MSCI EMERGING MARKETS UCITS ;Amundi;Accumulating;AMEM;FRA;FRA:AMEM;;EUR
ETF;LU1681045370;Globalny (EM);Akcje;AMUNDI MSCI EMERGING MARKETS UCITS ;Amundi;Accumulating;AEEM;EPA;EPA:AEEM;;EUR
ETF;LU1781541179;Globalny (DM);Akcje;LYXOR CORE MSCI WORLD (DR) UCITS ETF ;Lyxor;Accumulating;LCWD;EPA;EPA:LCWD;;
ETF;LU0496786574;USA;Akcje;LYXOR S&P 500 UCITS ETF;Lyxor;Distributing;ETFSP500;WSE;WSE:ETFSP500;;PLN
ETF;IE00BP3QZ601;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD QUALITY FACTOR UCITS ;iShares;Accumulating;IWQU;FRA;FRA:IS3Q;;EUR
ETF;IE00BP3QZ601;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD QUALITY FACTOR UCITS ;iShares;Accumulating;IWQU;LON;LON:IWQU;;USD
ETF;LU0274211217;Europa;Akcje;DB XTRACKERS EURO STOXX 50 UCITS ;Xtrackers;Distributing;XESX;FRA;FRA:DBXE;XESX.F;
ETF;DE000A0F5UH1;Globalny;Akcje - dywidendy;ISHARES STOXX GLOBAL SELECT DIVIDEND 100 UCITS ;iShares;Distributing;SDGPEX;FRA;FRA:ISPA;ISPA.F;
ETF;IE00BYPLS672;Globalny;Akcje - technologia;L&G CYBER SECURITY UCITS;Amplify ETFs;Accumulating;USPY;FRA;FRA:USPY;;EUR
ETF;IE00BYPLS672;Globalny;Akcje - technologia;L&G CYBER SECURITY UCITS ;Amplify ETFs;Accumulating;USPY;LON;LON:USPY;;USD
ETF;DE000A0D8Q07;Europa;Akcje;ISHARES EURO STOXX UCITS ;iShares;Distributing;SXXEEX;FRA;FRA:EXSI;;
ETF;IE00B3VVMM84;Globalny (EM);Akcje;VANGUARD FTSE EMERGING MARKETS UCITS ;Vanguard;Distributing;VDEM;LON;LON:VDEM;;USD
ETF;IE00B3VVMM84;Globalny (EM);Akcje;VANGUARD FTSE EMERGING MARKETS UCITS;Vanguard;Distributing;VFEM;AMS;AMS:VFEM;;EUR
ETF;IE00B1TXK627;Globalny;Akcje - tematyczne;ISHARES GLOBAL WATER UCITS ;iShares;Distributing;DH2O;LON;LON:DH2O;;USD
ETF;IE00B1TXK627;Globalny;Akcje - tematyczne;ISHARES GLOBAL WATER UCITS;iShares;Distributing;IH2O;LON;LON:IH2O;;GBX
ETF;IE00B1TXK627;Globalny;Akcje - tematyczne;ISHARES GLOBAL WATER UCITS;iShares;Distributing;IQQQ;FRA;FRA:IQQQ;;EUR
ETF;IE00B44Z5B48;Globalny;Akcje;SPDR MSCI ACWI ETF ;SPDR;Accumulating;ACWE;EPA;EPA:ACWE;;EUR
ETF;IE00BKX55Q28;Wielka Brytania;Akcje;VANGUARD FTSE 250 UCITS ;Vanguard;Distributing;VMID;FRA;FRA:VMID;;
